Label,Symmetry Number,Number of optical isomers,Symmetry Group,Rotational constant (cm-1),"Calculated Frequencies (unscaled and prior to projection, cm^-1)",Electronic energy (J/mol),"E0 (electronic energy + ZPE, J/mol)",E0 with atom and bond corrections (J/mol),Atom XYZ coordinates (angstrom),T1 diagnostic,D1 diagnostic
10000000000000000002,1,1,Kh,-,-,-1307862.5919423844,-1307862.5919423844,214785.68607245968,H    2.961621    1.226245    -0.001598,,
1131732952100000000002,1,2,C1,"0.13, 0.09, 0.07","21.9, 226.4, 240.9, 332.7, 420.7, 520.7, 550.9, 624.0, 768.9, 814.3, 1182.5, 1257.0, 1263.6, 1329.5, 1846.7",-1381424872.0741637,-1381357622.7693596,25123913.74548005,"C    1.540409    0.005026    -0.006471, O    2.205789    -0.927205    -0.323976, C    -0.014941    0.003048    0.002291, F    -0.486236    0.800489    0.954388, F    -0.456315    0.438936    -1.171858, F    -0.453227    -1.222178    0.201432, O    2.022525    1.179916    0.344705",,
1141903082400600000001,1,1,Cs,"0.13, 0.08, 0.07","37.7, 239.4, 246.2, 394.6, 432.7, 511.6, 588.4, 601.0, 681.8, 807.1, 825.0, 1179.5, 1245.4, 1248.8, 1313.9, 1457.7, 1926.5, 3813.0",-1383251874.5989547,-1383148351.1913245,24855833.601529878,"C    0.578205    0.309791    0.025527, O    1.022467    1.397491    0.201281, C    -0.932774    -0.006524    0.048852, F    -1.314994    -0.515659    -1.119502, F    -1.202229    -0.89568    1.001398, F    -1.627455    1.090533    0.282429, O    1.267647    -0.800403    -0.21503, H    2.209132    -0.579549    -0.224955",,
1141942881381180600001,1,1,Cs,"0.18, 0.06, 0.06","110.9, 146.3, 212.2, 437.5, 443.7, 467.2, 621.8, 635.8, 751.1, 780.9, 945.7, 1114.9, 1221.7, 1310.7, 1320.5, 1380.7, 1430.5, 3618.4",-1383076130.8086758,-1382976144.3170283,25028040.475826025,"C    1.279522    0.50529    0.852138, O    0.658635    0.214989    -0.319095, C    -0.642357    -0.225309    -0.203758, F    -1.41128    0.685401    0.361354, F    -1.076343    -0.456006    -1.428319, F    -0.713756    -1.341145    0.496072, O    2.471605    0.895696    0.54291, H    2.637927    0.890141    -0.419873",,
1142223813092830600001,1,2,C1,"0.16, 0.08, 0.07","65.6, 230.1, 264.9, 363.2, 453.1, 524.6, 557.6, 616.8, 660.4, 789.9, 902.6, 926.8, 1140.0, 1242.9, 1259.9, 1310.5, 1329.8, 3735.6",-1382586026.5105639,-1382489438.1510801,25514746.641774118,"C    0.907756    -0.225376    0.610969, O    1.680903    -0.39523    -0.575606, C    -0.560154    -0.123544    0.161913, F    -1.22319    0.67998    0.991204, F    -0.767758    0.319469    -1.080617, F    -1.080088    -1.34887    0.246774, O    1.553035    0.991017    -0.194793, H    2.361967    1.16468    0.31762",,
160000000000000000003,1,1,Kh,-,-,-197086186.4409729,-197086186.4409729,13196243.13171354,O    2.198858    -0.991139    0.002706,,
170170000000000000002,1,1,Cinfv,18.85,3780.8,-198838267.26150912,-198815965.78929013,12989112.061411181,"O    1.992805    1.250028    -0.001926, H    2.963636    1.226196    -0.001597",,
190000000000000000002,1,1,Kh,-,-,-261850888.07481238,-261850888.07481238,67080.56861755252,F    -0.46087    0.630835    1.077005,,
440560320000000000001,2,1,Dinfh,"33356409543.14, 0.41, 0.41","644.5, 1490.0, 2598.2",-495158482.77689934,-495130565.9974389,25515678.86752262,"C    2.063312    -0.115223    -0.665953, O    2.112305    -0.690609    -1.648215, O    2.015196    0.460096    0.316063",,
450730450170000000002,1,1,Cs,"4.78, 0.40, 0.37","595.3, 614.7, 1120.9, 1307.7, 1930.5, 3682.7",-496491388.1591465,-496436814.7883726,25732078.354603752,"C    1.56913    -0.00457    0.000507, O    2.172318    -1.013511    0.002742, O    1.99225    1.245497    -0.001919, H    2.965513    1.257665    -0.001659",,
