Label,Symmetry Number,Number of optical isomers,Symmetry Group,Rotational constant (cm-1),"Calculated Frequencies (unscaled and prior to projection, cm^-1)",Electronic energy (J/mol),"E0 (electronic energy + ZPE, J/mol)",E0 with atom and bond corrections (J/mol),Atom XYZ coordinates (angstrom),T1 diagnostic,D1 diagnostic
10000000000000000002,1,1,Kh,-,-,-1307862.5919423844,-1307862.5919423844,214785.68607245968,H    2.977919    1.205403    0.020679,,
1001482381140000000001,1,2,C1,"0.19, 0.10, 0.10","32.5, 268.1, 333.4, 420.3, 540.3, 548.6, 703.5, 854.0, 1225.5, 1280.2, 1298.7, 1358.4",-1248430058.5067744,-1248377775.8457882,-543129.8328911808,"C    -0.053268    -0.759924    0.880381, C    -1.093676    0.396037    0.992473, F    -2.149782    0.28043    0.195217, F    -1.511194    0.381527    2.259874, F    -0.501034    1.552956    0.742604, F    -0.710909    -1.753142    0.40038",,
1141903082400600000001,1,1,Cs,"0.13, 0.08, 0.07","36.2, 239.1, 245.8, 394.7, 432.7, 513.2, 593.8, 600.8, 682.1, 807.1, 824.9, 1180.1, 1245.8, 1248.5, 1313.4, 1457.8, 1926.7, 3808.8",-1383251874.3626595,-1383148343.7051282,24855841.08772609,"C    1.234294    0.252075    0.242496, O    1.600174    -0.818245    -0.120597, C    0.024343    0.465882    1.177343, F    -0.893145    1.220722    0.578302, F    -0.519933    -0.693184    1.495123, F    0.408019    1.080042    2.293643, O    1.773824    1.424853    -0.072535, H    2.528261    1.267084    -0.656665",,
1191793072280000000002,1,1,Cs,"0.13, 0.08, 0.07","65.3, 210.3, 223.7, 369.8, 426.6, 522.8, 597.5, 619.0, 719.3, 853.6, 1171.3, 1246.3, 1293.4, 1347.7, 1454.8",-1510765358.4300113,-1510699757.9598322,-947143.3035052421,"C    -0.090406    0.015401    0.003621, C    -0.613421    0.376737    1.378969, F    -1.944087    0.28855    1.430197, F    -0.107501    -0.449444    2.283603, F    -0.268192    1.620982    1.678184, F    -0.46333    0.847785    -0.939446, F    -0.300254    -1.235732    -0.330513",,
1201923602880000000001,1,1,Cs,"0.12, 0.08, 0.07","77.9, 214.2, 247.3, 367.8, 422.6, 528.9, 589.5, 595.0, 740.1, 894.6, 1184.8, 1202.8, 1243.4, 1278.5, 1351.3, 1396.5, 1481.6, 3132.7",-1512529192.5151668,-1512429213.0144951,-1153950.080153564,"C    -0.588287    0.648042    -0.575564, C    -0.838395    0.134659    0.845101, F    -1.816085    -0.757732    0.868053, F    0.269436    -0.428914    1.317982, F    -1.165906    1.151819    1.636688, F    -1.719107    1.204943    -1.034802, F    -0.268661    -0.394485    -1.357139, H    0.21866    1.38191    -0.586255",,
1362244183860600000001,1,2,C1,"0.09, 0.06, 0.06","73.8, 215.7, 224.1, 286.9, 355.9, 388.1, 402.9, 523.3, 527.2, 620.6, 630.1, 724.3, 831.1, 1117.2, 1148.1, 1268.3, 1277.0, 1306.7, 1390.3, 1460.4, 3858.6",-1710086967.4912226,-1709977071.1616976,11580621.34533059,"C    -0.475315    0.578129    -0.510291, C    -0.613265    0.298118    1.003366, F    -1.771073    -0.276436    1.281135, F    0.374104    -0.51947    1.380493, F    -0.512309    1.42409    1.691516, F    -1.409285    1.451601    -0.86951, F    -0.709941    -0.583717    -1.150619, O    0.730031    1.091972    -0.836797, H    1.425937    0.466522    -0.604905",,
1452453874401930400002,1,2,C1,"0.07, 0.05, 0.05","21.5, 67.8, 136.3, 208.6, 246.6, 353.8, 370.0, 413.8, 483.1, 561.1, 589.6, 625.8, 656.2, 762.4, 817.3, 1073.8, 1183.1, 1222.6, 1274.3, 1332.2, 1380.4, 1421.7, 1916.8, 3809.9",-1745255154.5609756,-1745131702.4701502,24871836.685722645,"C    1.555078    -0.01782    -0.044341, O    2.202586    -1.009167    -0.140184, C    0.009933    -0.00622    0.010009, C    -0.528374    0.389155    1.372061, F    -0.088561    -0.371365    2.352153, F    -0.427748    1.663092    1.665799, F    -0.464186    0.861202    -0.899788, F    -0.430312    -1.234021    -0.274953, O    2.023117    1.22333    0.073061, H    2.989623    1.187542    0.061711",,
1452453943632430600002,1,1,Cs,"0.09, 0.05, 0.04","36.5, 71.4, 155.5, 173.9, 291.7, 372.2, 376.6, 397.6, 503.4, 514.8, 579.1, 611.5, 690.0, 729.9, 788.9, 1084.9, 1169.1, 1223.0, 1261.6, 1310.7, 1414.8, 1521.1, 1824.3, 3828.1",-1745317338.070594,-1745193873.2924418,24809665.863430858,"C    1.551138    -0.060561    -0.095192, O    2.103389    -0.661841    -0.973941, C    0.16684    -0.297362    0.293043, C    -0.586004    0.419949    1.384891, F    -1.824776    -0.049537    1.462616, F    0.001478    0.251145    2.56907, F    -0.648226    1.73017    1.149597, F    -0.49136    -1.214232    -0.358689, O    2.108085    0.903527    0.652312, H    3.019533    1.018981    0.353671",,
1472314214191050000002,1,2,C1,"0.08, 0.05, 0.04","26.4, 62.9, 209.6, 213.7, 245.3, 330.7, 368.1, 387.9, 469.7, 548.2, 588.6, 633.8, 689.1, 785.1, 992.3, 1188.8, 1265.7, 1291.9, 1294.1, 1382.6, 2034.5",-1808312313.9626765,-1808223778.9485672,11892651.000034867,"C    1.528339    0.033193    -0.015158, O    2.217088    -0.89695    0.085249, C    -0.03544    -0.02865    -0.017633, C    -0.582475    0.359934    1.369658, F    -1.903728    0.305755    1.366823, F    -0.114066    -0.478899    2.284128, F    -0.198444    1.590866    1.676689, F    -0.499104    0.833769    -0.924588, F    -0.467747    -1.255062    -0.322194",,
1482484344321580600001,1,2,C1,"0.08, 0.05, 0.04","46.5, 62.7, 204.2, 215.5, 300.1, 334.3, 371.3, 386.4, 476.9, 549.4, 590.9, 609.3, 719.5, 799.9, 850.4, 1063.2, 1209.6, 1237.1, 1272.7, 1295.0, 1337.4, 1390.9, 1473.3, 3783.4",-1809828878.1508603,-1809707484.514066,11931593.71255096,"C    1.601871    0.147727    0.330176, C    0.079413    0.06549    0.10441, C    -0.666965    0.33545    1.425007, F    -1.976632    0.339401    1.227836, F    -0.374754    -0.585162    2.329785, F    -0.301433    1.529024    1.89409, F    -0.410085    0.917926    -0.815168, F    -0.202847    -1.18678    -0.298415, O    2.019954    1.130751    -0.385782, H    2.977419    1.217844    -0.280603",,
