Label,Symmetry Number,Number of optical isomers,Symmetry Group,Rotational constant (cm-1),"Calculated Frequencies (unscaled and prior to projection, cm^-1)",Electronic energy (J/mol),"E0 (electronic energy + ZPE, J/mol)",E0 with atom and bond corrections (J/mol),Atom XYZ coordinates (angstrom),T1 diagnostic,D1 diagnostic
160000000000000000003,1,1,Kh,-,-,-197078981.33579692,-197078981.33579692,13203448.236889511,O    1.979465    -0.974205    4.2e-05,,
190000000000000000002,1,1,Kh,-,-,-261844797.71486828,-261844797.71486828,73170.92856165767,F    0.0    0.0    0.0,,
280280000000000000001,1,1,Cinfv,1.94,2246.3,-297488917.3407573,-297475667.11099875,12888148.181276327,"C    -0.28397    1.872204    0.614166, O    -0.412492    2.88814    1.08136",,
470590350000000000002,1,1,Cs,"6.34, 0.39, 0.36","641.4, 1045.8, 1968.3",-559490543.2746447,-559468980.7744766,12812803.16122835,"C    1.316136    -0.023542    1e-06, O    1.99731    -0.967237    4.2e-05, F    -0.009853    0.016574    -1e-06",,
660901080000000000001,2,1,C2v,"0.39, 0.39, 0.20","588.0, 627.1, 791.3, 983.6, 1247.6, 2014.3",-821841079.8504765,-821804201.1576928,12395551.421442011,"C    0.164925    -1.131557    -0.227483, O    0.382148    -1.516549    0.853835, F    1.0542    -0.683524    -1.081845, F    -1.011934    -1.070032    -0.804303",,
751111220670000000002,1,2,C1,"0.37, 0.14, 0.11","139.9, 251.2, 450.4, 508.1, 737.7, 787.4, 1132.8, 1904.0, 2048.8",-857023213.1186402,-856976257.322406,25669341.905573983,"C    1.687173    -0.01895    -0.330366, O    1.547228    -0.990704    0.295709, C    1.938821    1.416988    0.000771, O    1.109452    2.223529    0.223948, F    3.230926    1.701749    -0.190099",,
781141250730000000001,1,2,C1,"0.33, 0.14, 0.11","85.3, 277.7, 301.4, 536.3, 769.5, 874.7, 1155.8, 1285.0, 1929.8",-921507418.3269804,-921464856.2296709,12816282.069052426,"C    1.102818    0.202169    0.518437, C    1.763107    1.488717    0.073407, O    1.308343    2.562307    0.241887, F    3.004806    1.267823    -0.379079, F    0.355062    -0.214199    -0.454733",,
941421881400000000001,2,1,C2h,"0.20, 0.12, 0.07","40.6, 252.3, 419.6, 458.7, 533.2, 690.7, 821.6, 824.8, 1129.0, 1289.1, 1964.4, 1965.3",-1119345303.2226627,-1119284020.068523,25279547.80288694,"C    -0.758122    -0.121483    -0.017069, O    -1.290698    -1.158013    -0.160287, C    0.75812    0.121495    0.017083, O    1.290711    1.157929    0.160785, F    1.40202    -1.024639    -0.141357, F    -1.40203    1.024711    0.140844",,
941461610900730000001,1,2,C1,"0.35, 0.07, 0.06","71.8, 168.6, 237.1, 457.6, 594.5, 716.7, 794.4, 1022.6, 1128.0, 1226.1, 1291.2, 1999.8",-1119139133.2995496,-1119081866.331633,25481701.53977687,"C    -0.633408    -0.728392    -0.162318, O    -0.176475    -1.662728    -0.695623, C    1.280226    0.508599    0.144397, O    -0.054135    0.495176    0.059362, F    1.554551    1.77388    0.262298, F    -1.854662    -0.641583    0.313983",,
941742762340700000001,1,2,C1,"0.21, 0.12, 0.09","77.8, 257.9, 310.0, 420.8, 518.3, 652.0, 749.6, 906.5, 996.7, 1236.7, 1292.5, 1465.6",-1118664377.0461152,-1118611970.360037,25951597.51137289,"C    -0.047139    -0.282302    0.250533, O    -1.109346    -0.458878    -0.571299, C    0.949639    0.884078    0.135273, O    0.156396    -1.245218    -0.683598, F    0.421664    1.727902    -0.687098, F    -0.196703    -0.662056    1.511805",,
941421881400000000001_r12_insertion_R_1_3_5,1,2,C1,"0.19, 0.10, 0.10","496.3i, 152.2, 262.3, 352.7, 477.0, 549.8, 611.1, 694.5, 763.5, 1061.1, 1873.8, 2276.4",-1119145419.6441317,-1119091892.8483505,25471675.02305928,"C    1.51175    0.080586    -0.087346, O    2.00041    -0.57467    -0.93834, C    1.430046    1.621239    -0.234126, O    1.485796    2.715853    -0.481114, F    2.557011    0.795487    1.017519, F    0.528588    -0.305888    0.723368",,
941421881400000000001_r12_insertion_R_4_3_1,1,2,C1,"0.28, 0.09, 0.08","502.9i, 146.9, 385.9, 432.8, 517.7, 570.7, 709.0, 727.3, 1058.0, 1279.4, 1566.1, 1944.8",-1119052675.106122,-1118997590.6173284,25565977.254081536,"C    1.13021    0.045361    -0.108452, O    1.411045    -0.929313    -0.695292, C    2.257057    1.298443    0.298954, O    1.461338    1.475148    -0.659291, F    3.147153    2.230004    0.458329, F    0.106799    0.212965    0.705717",,
941421881400000000001_r12_insertion_R_5_3_1,1,2,C1,"0.19, 0.10, 0.10","496.5i, 152.1, 262.2, 352.7, 477.2, 550.0, 611.2, 694.6, 763.7, 1061.1, 1874.0, 2276.3",-1119145417.491222,-1119091886.2937152,25471681.577694636,"C    1.487073    0.080579    0.057559, O    1.917793    -0.624743    0.899778, C    1.449801    1.615789    0.264562, O    1.53112    2.697048    0.558814, F    2.60074    0.803085    -0.972584, F    0.527072    -0.239146    -0.808166",,
941421881400000000001_ketoenol_2_1_3_4,1,2,C1,"0.24, 0.11, 0.10","716.1i, 241.0, 309.3, 339.5, 455.0, 530.4, 660.9, 892.7, 979.4, 1209.4, 1339.2, 1440.8",-1118608376.6306713,-1118558841.16431,26004726.70709989,"C    0.893672    0.557712    0.368004, O    -0.099564    0.322711    -0.458557, C    1.995355    1.493505    -0.012831, O    1.489496    -0.092263    -0.72617, F    1.588363    2.424225    -0.82382, F    0.861696    -0.005134    1.551592",,
