Label,Symmetry Number,Number of optical isomers,Symmetry Group,Rotational constant (cm-1),"Calculated Frequencies (unscaled and prior to projection, cm^-1)",Electronic energy (J/mol),"E0 (electronic energy + ZPE, J/mol)",E0 with atom and bond corrections (J/mol),Atom XYZ coordinates (angstrom),T1 diagnostic,D1 diagnostic
10000000000000000002,1,1,Kh,-,-,-1307862.5919423844,-1307862.5919423844,214785.68607245968,H    2.345886    1.577525    -1.044796,,
1001482001520000000001,4,1,D2h,"0.19, 0.11, 0.07","206.6, 209.9, 403.3, 431.7, 563.3, 564.2, 593.2, 823.4, 1231.8, 1397.3, 1402.1, 1971.2",-1248600719.5866263,-1248542924.6705627,-708278.657665661,"C    0.92215    -1.861345    -0.590645, C    1.653313    -0.770628    -0.682624, F    1.660334    0.172203    0.228628, F    2.447935    -0.5179    -1.694555, F    0.915125    -2.80416    -1.501897, F    0.127532    -2.114095    0.421283",,
1001482381140000000001,1,2,C1,"0.19, 0.10, 0.10","38.4, 268.3, 340.5, 420.0, 541.4, 548.5, 703.2, 853.3, 1226.2, 1280.0, 1297.5, 1357.7",-1248430054.5055127,-1248377704.0061672,-543057.9932702102,"C    -1.672897    -1.224394    0.211955, C    -0.750215    -0.668154    1.33936, F    -1.329879    0.403561    1.745083, F    -0.931102    -1.776922    -0.735099, F    -2.420203    -2.166632    0.789978, F    -2.477188    -0.328348    -0.349084",,
1002122340540000000001,1,2,C1,"0.17, 0.17, 0.17","297.3, 385.1, 425.3, 528.5, 555.1, 567.4, 868.5, 942.6, 1161.1, 1287.7, 1529.4, 3816.4",-1901711006.1973348,-1901638072.7112298,-744529877.0839934,"F    0.296731    0.846604    -0.682579, S    1.811072    0.892821    -0.362462, O    1.932041    1.537205    0.887036, O    2.325843    -0.382003    -0.644018, O    2.266936    1.85602    -1.502343, H    2.196761    2.775759    -1.210303",,
1191793072280000000002,1,1,Cs,"0.13, 0.08, 0.07","63.5, 210.4, 224.0, 369.8, 426.4, 522.7, 597.4, 619.0, 719.5, 853.8, 1171.4, 1246.3, 1293.3, 1347.4, 1454.9",-1510765356.4293804,-1510699763.7269526,-947149.0706254469,"C    -0.642852    -1.325251    0.188871, C    -0.003642    0.043638    0.073956, F    -0.227591    0.637278    -1.074362, F    -0.25174    0.83082    1.093696, F    -0.256541    -2.087956    -0.823999, F    -0.283045    -1.894857    1.330351, F    -1.974612    -1.241888    0.164926",,
1312673532570400000002,1,2,C1,"0.12, 0.07, 0.06","64.1, 175.3, 193.8, 319.5, 342.3, 402.4, 487.1, 491.2, 582.9, 605.9, 725.8, 886.3, 1137.6, 1240.7, 1322.3, 1341.4, 1503.6, 3815.0",-2263689228.5646157,-2263596989.110026,-744489439.1197708,"C    0.109618    0.111851    0.129284, F    -0.347928    0.425675    -1.059256, F    -0.475327    0.795632    1.075746, S    1.890133    0.014403    0.235298, O    2.199485    -0.229719    1.590615, O    2.31079    -0.815082    -0.836684, O    2.325689    1.501407    -0.084835, H    2.53831    1.583453    -1.025314",,
1502823922432230600001,1,2,C1,"0.12, 0.04, 0.04","40.5, 78.7, 155.3, 243.3, 323.2, 356.4, 424.0, 483.3, 512.6, 565.0, 641.2, 692.0, 760.7, 880.5, 976.0, 1125.5, 1246.8, 1264.4, 1309.8, 1337.7, 3752.8",-2526114524.2272797,-2526013245.4407806,-744987726.8070961,"C    -1.406815    0.675349    0.406257, S    0.887073    1.119007    -0.786735, O    -0.405086    1.570588    0.220616, O    1.488357    -0.012756    -0.146639, O    1.704847    2.422373    -0.410103, F    -2.493464    1.331311    0.772983, F    -1.676551    0.00098    -0.715223, F    -1.112961    -0.208633    1.34781, H    1.97779    2.400093    0.521877",,
1502984803620600000001,1,2,C1,"0.09, 0.05, 0.05","60.3, 187.2, 194.9, 309.9, 321.7, 342.3, 373.9, 471.4, 507.2, 571.1, 576.9, 632.6, 794.6, 907.3, 1141.7, 1198.9, 1275.0, 1295.4, 1309.3, 1505.6, 3811.0",-2526061391.3880324,-2525956463.5710106,-744930944.9373258,"C    0.298242    0.157857    0.124269, F    -0.572173    0.677493    -0.730909, F    0.09041    0.670903    1.32116, S    2.006741    0.536008    -0.44482, O    2.88354    0.176006    0.600843, O    2.11442    0.043262    -1.771045, O    1.920788    2.105856    -0.479091, F    0.143013    -1.151071    0.167926, H    1.656095    2.40528    -1.360841",,
160000000000000000003,1,1,Kh,-,-,-197086186.4409729,-197086186.4409729,13196243.13171354,O    2.223014    -0.230026    1.614952,,
170170000000000000002,1,1,Cinfv,18.85,3780.0,-198838267.26938564,-198815970.19889224,12989107.651809067,"O    2.235421    1.46772    -0.087663, H    2.346052    1.57769    -1.046234",,
