Label,Symmetry Number,Number of optical isomers,Symmetry Group,Rotational constant (cm-1),"Calculated Frequencies (unscaled and prior to projection, cm^-1)",Electronic energy (J/mol),"E0 (electronic energy + ZPE, J/mol)",E0 with atom and bond corrections (J/mol),Atom XYZ coordinates (angstrom),T1 diagnostic,D1 diagnostic
10000000000000000002,1,1,Kh,-,-,-1320108.7693097366,-1320108.7693097366,202539.5087051075,H    2.967153    1.2211    -0.001746,,
1131732952100000000002,1,1,Cs,"0.14, 0.08, 0.07","19.0, 205.3, 234.0, 383.0, 433.2, 512.8, 599.0, 682.8, 734.9, 815.1, 913.4, 1205.4, 1242.4, 1257.0, 1641.4",-1381318809.5594728,-1381254640.4268892,25226896.0879505,"C    1.506294    0.069626    0.012992, O    2.21739    -0.88433    -0.337604, C    -0.035849    0.011112    0.00397, F    -0.528641    0.812753    0.9396, F    -0.486702    0.408825    -1.185705, F    -0.44683    -1.230976    0.225503, O    2.138597    1.084761    0.341786",,
1141903082400600000001,1,1,Cs,"0.13, 0.08, 0.07","32.8, 240.0, 246.4, 391.9, 429.3, 511.5, 593.2, 594.9, 679.1, 800.9, 806.4, 1170.7, 1192.1, 1221.6, 1273.4, 1438.8, 1907.5, 3836.2",-1383137324.6702542,-1383034884.0871217,24969300.705732524,"C    0.582526    0.307557    0.028682, O    1.029608    1.396547    0.210401, C    -0.934149    -0.005974    0.044617, F    -1.317322    -0.510948    -1.131296, F    -1.214028    -0.900078    0.997021, F    -1.63065    1.094516    0.279623, O    1.272199    -0.801437    -0.212347, H    2.211815    -0.580182    -0.2167",,
1141942801461180600001,1,1,Cs,"0.18, 0.05, 0.05","42.3, 195.5, 211.4, 258.4, 367.1, 417.8, 441.7, 571.2, 577.9, 651.4, 785.8, 912.8, 1193.6, 1198.7, 1243.3, 1391.7, 1500.5, 3812.7",-1382598897.99999,-1382505852.2528398,25498332.54001444,"C    -0.531022    0.365075    0.785287, O    -2.692176    -0.152081    1.129573, C    0.663824    0.122252    -0.156632, F    1.651432    -0.405695    0.568002, F    0.455822    -0.686138    -1.206105, F    1.053599    1.305898    -0.632061, O    -1.478654    -0.297192    0.318655, H    -3.286403    -0.72028    0.619134",,
160000000000000000003,1,1,Kh,-,-,-197078981.33579692,-197078981.33579692,13203448.236889511,O    2.205245    -0.993888    0.002894,,
170170000000000000002,1,1,Cinfv,18.87,3792.0,-198840580.98220912,-198818212.96625602,12986864.884445269,"O    1.999522    1.248379    -0.002128, H    2.969839    1.221024    -0.001745",,
190000000000000000002,1,1,Kh,-,-,-261844797.71486828,-261844797.71486828,73170.92856165767,F    -0.465492    0.631282    1.081383,,
280280000000000000001,1,1,Cinfv,1.94,2246.4,-297488917.33813184,-297475666.5905232,12888148.701751864,"C    2.516717    -2.166293    0.5796, O    2.11015    -1.249739    0.068211",,
440560320000000000001,2,1,Dinfh,"33356409543.14, 0.39, 0.39","680.1, 1403.4, 2467.6",-495119940.3287075,-495093094.2042682,25553150.660693303,"C    2.339015    -0.103503    -0.678033, O    2.67987    -0.58573    -1.672482, O    1.998332    0.37877    0.316471",,
450730450170000000002,1,1,Cs,"4.77, 0.40, 0.37","587.6, 612.3, 1113.8, 1304.4, 1910.6, 3702.7",-496459787.68223375,-496405334.45267624,25763558.690300092,"C    1.574065    -0.005056    0.000499, O    2.177347    -1.01922    0.00294, O    2.000311    1.243772    -0.002118, H    2.971692    1.256065    -0.001821",,
500620380000000000001,2,1,C2v,"2.92, 0.42, 0.37","681.0, 1126.2, 1242.3",-624088368.8902174,-624070380.8501621,-153057.84371367015,"C    -1.25206    0.344739    -1.035365, F    -2.165555    1.241493    -0.806075, F    -1.903868    -0.667645    -1.526738",,
641041150370000000001,1,1,Cs,"0.40, 0.38, 0.19","490.3, 563.0, 622.0, 785.1, 927.9, 1200.3, 1343.6, 2002.8, 3878.5",-758809214.6850685,-758739529.672457,25347332.113949444,"C    1.745427    0.03753    0.952696, O    2.751919    -0.041444    1.551823, F    0.550153    -0.308572    1.481407, O    1.586639    0.45705    -0.289521, H    0.658244    0.422802    -0.540411",,
690931140000000000002,3,1,C3v,"0.36, 0.36, 0.19","513.2, 513.3, 703.8, 1088.3, 1261.5, 1261.6",-886295635.3886851,-886264126.8011343,-428835.1512561344,"C    -0.049733    0.004615    -7.4e-05, F    -0.448402    0.634149    1.08534, F    -0.447655    0.629156    -1.088642, F    -0.446213    -1.250611    0.002672",,
701061740000000000001,3,1,C3v,"0.34, 0.34, 0.19","510.2, 510.3, 702.0, 1146.5, 1160.4, 1160.5, 1396.0, 1396.6, 3153.9",-888081253.070257,-888015563.0120157,-657623.0841225374,"C    -1.15045    0.153892    0.523537, F    -2.424653    0.265772    0.907555, F    -1.019906    0.721713    -0.67817, F    -0.855164    -1.143782    0.412008, H    -0.490591    0.634527    1.246275",,
