Label,Symmetry Number,Number of optical isomers,Symmetry Group,Rotational constant (cm-1),"Calculated Frequencies (unscaled and prior to projection, cm^-1)",Electronic energy (J/mol),"E0 (electronic energy + ZPE, J/mol)",E0 with atom and bond corrections (J/mol),Atom XYZ coordinates (angstrom),T1 diagnostic,D1 diagnostic
10000000000000000002,1,1,Kh,-,-,-1320108.7693097366,-1320108.7693097366,202539.5087051075,H    1.985434    2.023086    -0.80792,,
1001961801040200000001,1,2,C1,"0.26, 0.11, 0.09","119.9, 198.4, 275.4, 361.2, 392.7, 471.5, 667.9, 778.9, 962.1, 1063.5, 1305.0, 3836.3",-1901177736.4708803,-1901116196.7220304,-744008001.0947942,"F    -1.437401    0.212639    0.556489, S    0.696544    1.505389    0.808043, O    -1.046697    1.564256    0.726881, O    1.009702    2.910156    0.847013, O    0.965185    1.046405    -0.73135, H    0.839765    0.094058    -0.833573",,
1002122340540000000001,1,2,C1,"0.17, 0.16, 0.16","291.0, 367.2, 413.2, 503.8, 522.2, 535.6, 780.8, 872.3, 1150.2, 1230.9, 1479.3, 3834.3",-1901491930.0231774,-1901421258.7651062,-744313063.1378698,"F    -0.093482    1.81773    -0.361135, S    0.980733    0.717155    0.068383, O    0.369584    -0.090727    1.059079, O    1.547154    0.230961    -1.146065, O    2.008786    1.673754    0.805348, H    2.582108    2.115382    0.165244",,
1312673532570400000002,1,2,C1,"0.11, 0.07, 0.06","55.6, 190.1, 192.5, 302.7, 324.5, 372.7, 442.0, 501.2, 570.8, 606.7, 699.0, 838.4, 1125.8, 1179.1, 1271.6, 1283.6, 1428.2, 3840.0",-2263470553.732244,-2263380749.4676113,-744273199.4773564,"C    -0.01421    -0.068063    0.113526, F    -0.563178    0.4183    1.199641, F    -0.457217    -1.270592    -0.161275, S    1.807349    0.057254    0.064541, O    2.362504    -0.406922    1.299573, O    2.208584    -0.437115    -1.222795, O    1.942896    1.655052    0.080999, H    1.929857    1.997706    -0.821788",,
1332333552100000000002,1,1,Cs,"0.12, 0.07, 0.05","49.0, 178.6, 209.8, 276.1, 334.6, 445.0, 487.3, 551.8, 560.8, 755.1, 1065.6, 1115.0, 1252.0, 1260.4, 1302.0",-2326655880.3384333,-2326597819.7652836,-757377378.9822998,"C    -0.091051    -0.060511    0.061042, F    -0.573633    0.589891    -0.977748, F    -0.54489    0.464265    1.180746, F    -0.413869    -1.33481    -0.008783, S    1.833519    0.114881    0.045691, O    2.273445    -0.519542    1.285166, O    2.239632    -0.366803    -1.271625",,
1342503882400600000001,1,2,C1,"0.11, 0.07, 0.06","64.1, 186.4, 217.7, 284.2, 334.6, 364.5, 473.1, 485.5, 550.5, 582.3, 758.0, 759.7, 1119.2, 1163.0, 1213.7, 1224.5, 1249.9, 3789.8",-2328365983.3563223,-2328278560.4252396,-757535471.3642415,"C    -0.014006    -0.021023    0.044445, F    -0.470345    0.711575    -0.969227, F    -0.493069    0.466996    1.182296, F    -0.423546    -1.271674    -0.103117, S    1.883893    0.007315    0.078204, O    2.263235    -0.529878    -1.231157, O    1.980384    1.64481    0.073151, H    1.644203    2.008995    -0.758567",,
1492814473150000000002,1,1,Cs,"0.09, 0.05, 0.05","50.2, 162.7, 195.7, 203.4, 303.2, 354.3, 357.1, 559.2, 561.0, 609.6, 781.7, 861.7, 1061.7, 1120.9, 1224.3, 1252.3, 1256.6",-2524015052.315638,-2523950662.837849,-744447792.4821794,"C    -0.082389    -0.050937    0.0591, F    -0.600094    0.577743    -0.980406, F    -0.564609    0.460876    1.176867, F    -0.372733    -1.338139    -0.005846, S    1.773105    0.149869    0.039454, O    2.271975    -0.497634    1.239372, O    2.231448    -0.367222    -1.237816, O    2.010387    1.616233    0.111581",,
1502824203031350600001,1,2,C1,"0.09, 0.05, 0.04","51.7, 81.7, 152.2, 195.5, 281.3, 305.2, 324.9, 344.8, 448.5, 489.8, 543.6, 577.2, 708.7, 766.1, 996.3, 1144.7, 1219.1, 1242.5, 1258.6, 1431.3, 3826.7",-2525584568.9449744,-2525487886.0778527,-744462367.4441682,"C    0.902638    -0.179399    0.567015, F    1.052438    -1.376501    0.034658, F    0.61745    -0.28799    1.857075, F    2.032487    0.505927    0.427376, S    -0.447469    0.835293    -0.306788, O    -2.81602    0.025666    -0.229569, O    -0.072791    0.872111    -1.717852, O    -1.499462    -0.462034    -0.008714, H    -3.050856    -0.430263    -1.047716",,
1502984803620600000001,1,2,C1,"0.09, 0.05, 0.05","54.5, 184.7, 193.7, 299.1, 308.1, 332.6, 360.3, 455.0, 488.0, 565.1, 567.6, 609.5, 773.6, 836.6, 1126.1, 1143.9, 1229.4, 1250.4, 1258.5, 1440.7, 3833.6",-2525818325.1316247,-2525716212.088662,-744690693.4549773,"C    -1.087877    -0.073971    -0.04624, F    -1.471502    0.32546    -1.243612, F    -1.3394    0.882782    0.840035, F    -1.741183    -1.170957    0.291217, S    0.74479    -0.442818    -0.042192, O    1.098957    -0.78609    1.306822, O    1.020707    -1.266825    -1.174312, O    1.299532    1.024798    -0.374896, H    1.475976    1.507621    0.443179",,
1503305764823040000001,1,2,C1,"0.11, 0.05, 0.04","61.6, 152.0, 177.3, 247.6, 296.1, 326.9, 338.6, 380.2, 449.4, 464.0, 546.8, 563.3, 756.1, 820.7, 848.9, 988.3, 1144.5, 1175.7, 1210.6, 1255.7, 3823.2",-2525437850.793395,-2525343309.4952407,-744317790.8615562,"C    -1.06881    -0.09135    0.170825, F    -1.91768    0.517366    -0.654487, F    -1.137733    0.466831    1.364985, F    -1.412733    -1.376244    0.26668, S    0.676025    -0.053145    -0.609956, O    1.418302    -0.802207    0.554793, O    2.528728    -0.217571    -0.276624, O    0.720443    1.543024    -0.347706, H    1.63446    1.827494    -0.481919",,
