Label,Symmetry Number,Number of optical isomers,Symmetry Group,Rotational constant (cm-1),"Calculated Frequencies (unscaled and prior to projection, cm^-1)",Electronic energy (J/mol),"E0 (electronic energy + ZPE, J/mol)",E0 with atom and bond corrections (J/mol),Atom XYZ coordinates (angstrom),T1 diagnostic,D1 diagnostic
10000000000000000002,1,1,Kh,-,-,-1307862.5919423844,-1307862.5919423844,214785.68607245968,H    1.959928    2.000875    -0.791713,,
1002122340540000000001,1,2,C1,"0.17, 0.17, 0.17","288.4, 385.7, 424.4, 529.5, 555.9, 568.1, 869.8, 945.0, 1162.7, 1290.2, 1532.4, 3818.1",-1901711029.6666777,-1901638061.7435431,-744529866.1163067,"F    -0.079629    1.155028    -1.4655, S    0.856403    0.671243    -0.330942, O    0.112016    0.715802    0.857899, O    1.503179    -0.484783    -0.817052, O    1.854433    1.870591    -0.317072, H    2.57326    1.713581    -0.945395",,
1302784824321400000001,1,1,Cs,"0.14, 0.07, 0.06","163.2, 212.6, 308.0, 445.0, 458.3, 513.0, 524.5, 551.8, 665.0, 790.2, 1118.4, 1219.9, 1337.2, 1421.1, 1480.1",-2262137097.7117877,-2262070983.5343385,-744486081.8220984,"C    0.328978    -0.831535    0.009877, F    -0.17111    -1.5374    0.990729, F    0.5251    -1.581437    -1.043519, S    0.165793    0.892596    -0.083201, O    1.431643    -0.016463    0.369676, O    0.360341    1.50475    -1.343838, O    -0.444218    1.556336    1.007258",,
1312673532570400000002,1,2,C1,"0.12, 0.07, 0.06","56.0, 189.6, 194.8, 319.2, 345.9, 386.2, 461.6, 524.2, 582.6, 615.1, 732.2, 911.5, 1142.9, 1233.4, 1323.3, 1336.0, 1487.0, 3814.9",-2263685622.9814134,-2263593272.1890583,-744485722.1988032,"C    -0.016432    -0.071982    0.118575, F    -0.564481    0.417601    1.201738, F    -0.46486    -1.268377    -0.161401, S    1.775346    0.059655    0.059782, O    2.321264    -0.423141    1.273009, O    2.16665    -0.422201    -1.216676, O    1.914977    1.626237    0.091887, H    1.908992    1.976455    -0.810074",,
1332333552100000000002,1,1,Cs,"0.12, 0.07, 0.06","54.1, 177.0, 208.4, 281.4, 339.6, 452.9, 505.2, 555.3, 567.2, 762.8, 1103.5, 1162.4, 1303.6, 1303.7, 1372.7",-2326829082.8601403,-2326769211.3652935,-757548770.5823097,"C    -0.094818    -0.059122    0.059934, F    -0.583329    0.589588    -0.974207, F    -0.548694    0.461028    1.179151, F    -0.414759    -1.332515    -0.010831, S    1.805013    0.108223    0.03922, O    2.23779    -0.524953    1.257934, O    2.196748    -0.361437    -1.264361",,
1342503882400600000001,1,2,C1,"0.11, 0.07, 0.06","71.7, 187.9, 223.8, 293.0, 341.5, 376.8, 485.3, 506.5, 556.6, 593.9, 772.2, 839.4, 1142.9, 1200.3, 1252.0, 1265.4, 1293.3, 3750.1",-2328524167.690652,-2328434786.250602,-757691697.1896037,"C    -0.011072    -0.019697    0.04926, F    -0.457413    0.721255    -0.960537, F    -0.501463    0.460587    1.183486, F    -0.42617    -1.264045    -0.112088, S    1.860989    0.009295    0.087317, O    2.219803    -0.509341    -1.218814, O    1.948792    1.614111    0.075837, H    1.595352    1.964826    -0.757898",,
1492814473150000000002,1,1,Cs,"0.09, 0.05, 0.05","51.8, 65.5, 183.1, 197.5, 310.1, 331.2, 366.4, 397.5, 560.8, 566.3, 610.6, 709.8, 807.9, 1136.9, 1278.1, 1293.6, 1296.2, 1362.6",-2524246528.1847725,-2524178539.6489925,-744675669.2933226,"C    -0.083693    -0.060161    0.057842, F    -0.59401    0.58008    -0.9764, F    -0.555062    0.456864    1.176107, F    -0.39889    -1.339579    -0.009633, S    1.749573    0.096558    0.033164, O    2.231583    -0.480528    1.239755, O    2.184911    -0.334193    -1.249825, O    1.976173    1.592918    0.117579",,
1502984803620600000001,1,2,C1,"0.09, 0.05, 0.05","58.1, 186.5, 193.7, 309.0, 314.2, 342.2, 366.5, 469.0, 506.4, 571.2, 576.9, 631.2, 794.7, 907.0, 1135.0, 1197.2, 1276.1, 1295.3, 1307.5, 1500.2, 3812.4",-2526061369.9035664,-2525956666.57455,-744931147.9408654,"C    -1.068032    -0.07509    -0.047238, F    -1.448665    0.33825    -1.240351, F    -1.331026    0.868824    0.846328, F    -1.720682    -1.175853    0.271731, S    0.737237    -0.430763    -0.040522, O    1.083249    -0.763905    1.2945, O    1.002702    -1.259911    -1.151466, O    1.280277    1.006806    -0.375148, H    1.464941    1.49164    0.442164",,
1503305764823040000001,1,2,C1,"0.11, 0.05, 0.04","69.4, 156.5, 181.8, 251.9, 303.3, 341.9, 364.1, 422.7, 468.5, 477.4, 553.0, 575.0, 765.2, 874.9, 910.0, 1063.4, 1176.0, 1217.1, 1249.1, 1289.0, 3823.3",-2525635444.5159698,-2525537918.588933,-744512399.9552485,"C    -1.039749    -0.093686    0.161481, F    -1.891083    0.502345    -0.668922, F    -1.129173    0.472788    1.3521, F    -1.385726    -1.376019    0.269787, S    0.694566    -0.054885    -0.595648, O    1.384476    -0.793535    0.590333, O    2.446541    -0.189741    -0.272214, O    0.694579    1.522429    -0.350114, H    1.587394    1.853952    -0.515829",,
160000000000000000003,1,1,Kh,-,-,-197086186.4409729,-197086186.4409729,13196243.13171354,O    2.241697    -0.464158    1.250313,,
