Label,Symmetry Number,Number of optical isomers,Symmetry Group,Rotational constant (cm-1),"Calculated Frequencies (unscaled and prior to projection, cm^-1)",Electronic energy (J/mol),"E0 (electronic energy + ZPE, J/mol)",E0 with atom and bond corrections (J/mol),Atom XYZ coordinates (angstrom),T1 diagnostic,D1 diagnostic
10000000000000000002,1,1,Kh,-,-,-1307862.5919423844,-1307862.5919423844,214785.68607245968,H    2.977236    1.208068    0.013204,,
1001482381140000000001,1,2,C1,"0.19, 0.10, 0.10","35.5, 268.1, 332.4, 420.4, 540.2, 548.6, 703.4, 854.0, 1225.4, 1280.2, 1299.1, 1358.6",-1248430058.4122562,-1248377761.251468,-543115.238571017,"C    -0.061498    -0.756975    0.876928, C    -1.08263    0.415056    0.998779, F    -2.144163    0.318912    0.206086, F    -1.494326    0.402635    2.268115, F    -0.473089    1.563398    0.750176, F    -0.73955    -1.739548    0.403317",,
1141903082400600000001,1,1,Cs,"0.13, 0.08, 0.07","36.3, 239.0, 245.7, 394.6, 432.7, 513.3, 594.3, 600.8, 682.1, 807.1, 824.8, 1180.1, 1245.8, 1248.4, 1313.5, 1457.7, 1926.6, 3808.5",-1383251872.6875908,-1383148342.0300596,24855842.762794707,"C    1.23423    0.255443    0.241869, O    1.602151    -0.818132    -0.109358, C    0.02273    0.477421    1.1728, F    -0.894608    1.225414    0.56501, F    -0.520931    -0.678917    1.501364, F    0.404344    1.103021    2.283455, O    1.772539    1.425602    -0.084774, H    2.528052    1.262782    -0.66612",,
1191793072280000000002,1,1,Cs,"0.13, 0.08, 0.07","65.3, 210.4, 223.6, 369.9, 426.6, 522.8, 597.5, 619.0, 719.3, 853.6, 1171.4, 1246.4, 1293.5, 1347.7, 1454.8",-1510765358.595418,-1510699755.5359886,-947140.8796615927,"C    -0.090146    0.015632    0.003729, C    -0.614669    0.389734    1.375088, F    -1.945292    0.300726    1.426054, F    -0.108699    -0.427165    2.288085, F    -0.27092    1.637159    1.662538, F    -0.463303    0.838372    -0.947677, F    -0.298292    -1.238936    -0.318381",,
1201923602880000000001,1,1,Cs,"0.12, 0.08, 0.07","77.2, 214.6, 247.4, 367.9, 422.6, 528.9, 589.5, 595.0, 740.0, 894.4, 1184.9, 1202.8, 1243.6, 1278.7, 1351.5, 1395.3, 1481.7, 3131.6",-1512529194.2322435,-1512429224.5707233,-1153961.6363816853,"C    -0.587522    0.663992    -0.5644, C    -0.850774    0.102555    0.835539, F    -1.821717    -0.797255    0.817385, F    0.255599    -0.467951    1.303452, F    -1.195765    1.090853    1.655749, F    -1.717281    1.226414    -1.019496, F    -0.249346    -0.349742    -1.375465, H    0.213181    1.404368    -0.540928",,
1362244183860600000001,1,1,Cs,"0.10, 0.06, 0.06","71.6, 218.3, 227.1, 263.9, 354.6, 387.7, 392.3, 532.1, 541.5, 628.2, 629.8, 703.3, 826.1, 1065.9, 1206.2, 1263.4, 1296.1, 1296.5, 1312.1, 1517.9, 3844.5",-1710090227.6794167,-1709980634.810033,11577057.696995134,"C    0.000136    0.14504    -0.027391, C    -1.153123    0.849265    0.716209, F    -2.314954    0.379442    0.284039, F    -1.058855    0.627835    2.018864, F    -1.109284    2.154572    0.494781, F    -0.158514    0.342727    -1.349, F    -0.106426    -1.181064    0.174986, O    1.169681    0.6309    0.418397, H    1.898001    0.195349    -0.040447",,
1452453874401930400002,1,2,C1,"0.07, 0.05, 0.05","21.3, 68.0, 136.4, 208.8, 246.6, 353.8, 370.0, 413.8, 483.2, 561.2, 589.7, 625.9, 656.2, 762.5, 817.2, 1073.8, 1183.1, 1222.6, 1274.3, 1332.2, 1380.4, 1421.7, 1916.7, 3809.9",-1745255155.8684742,-1745131700.1526983,24871839.003174447,"C    1.555403    -0.016839    -0.042587, O    2.203777    -1.008388    -0.130053, C    0.010194    -0.005976    0.010464, C    -0.529613    0.402246    1.368113, F    -0.089635    -0.348069    2.35598, F    -0.430711    1.679131    1.649349, F    -0.463816    0.852115    -0.908214, F    -0.428805    -1.236863    -0.262873, O    2.022354    1.225603    0.065146, H    2.988896    1.190544    0.054638",,
1452453943632430600002,1,1,Cs,"0.09, 0.05, 0.04","36.3, 71.2, 155.5, 173.9, 291.8, 372.3, 376.7, 397.6, 503.4, 514.7, 579.1, 611.5, 690.0, 729.9, 788.9, 1085.0, 1169.0, 1223.0, 1261.7, 1310.7, 1415.0, 1521.1, 1824.3, 3828.0",-1745317337.5848763,-1745193873.5834992,24809665.572373524,"C    1.551576    -0.059851    -0.092802, O    2.10509    -0.668906    -0.965379, C    0.167164    -0.294176    0.296455, C    -0.587334    0.432775    1.380768, F    -1.825855    -0.036857    1.461572, F    -0.000976    0.275467    2.567087, F    -0.650235    1.740698    1.133203, F    -0.489649    -1.217748    -0.347169, O    2.107066    0.911713    0.646054, H    3.018668    1.025132    0.3471",,
1472314214191050000002,1,2,C1,"0.08, 0.05, 0.04","27.4, 62.9, 209.7, 213.6, 245.3, 330.7, 368.2, 387.9, 469.7, 548.2, 588.6, 633.9, 689.1, 785.0, 992.2, 1188.8, 1265.8, 1291.9, 1294.1, 1382.6, 2034.5",-1808312314.758203,-1808223774.0477428,11892655.90085914,"C    1.52848    0.034707    -0.014328, O    2.218049    -0.893722    0.095888, C    -0.035295    -0.0287    -0.017241, C    -0.583589    0.372747    1.36589, F    -1.904801    0.317589    1.362716, F    -0.115181    -0.456951    2.288661, F    -0.20066    1.606852    1.661367, F    -0.499186    0.824431    -0.932812, F    -0.466175    -1.258436    -0.310164",,
1482484344321580600001,1,2,C1,"0.08, 0.05, 0.04","46.9, 63.0, 204.4, 215.6, 300.2, 334.3, 371.3, 386.4, 476.9, 549.5, 590.9, 609.3, 719.5, 799.9, 850.4, 1063.2, 1209.7, 1237.1, 1272.8, 1295.0, 1337.4, 1390.9, 1473.4, 3783.3",-1809828881.989341,-1809707479.2901704,11931598.936446488,"C    1.601793    0.152347    0.330914, C    0.079635    0.066701    0.104397, C    -0.668347    0.348734    1.421554, F    -1.977809    0.349603    1.223005, F    -0.376268    -0.562783    2.33553, F    -0.304339    1.547131    1.879411, F    -0.409596    0.909878    -0.823823, F    -0.201197    -1.189601    -0.286699, O    2.019774    1.128918    -0.393887, H    2.977061    1.217811    -0.288586",,
