Label,Symmetry Number,Number of optical isomers,Symmetry Group,Rotational constant (cm-1),"Calculated Frequencies (unscaled and prior to projection, cm^-1)",Electronic energy (J/mol),"E0 (electronic energy + ZPE, J/mol)",E0 with atom and bond corrections (J/mol),Atom XYZ coordinates (angstrom),T1 diagnostic,D1 diagnostic
10000000000000000002,1,1,Kh,-,-,-1320108.7693097366,-1320108.7693097366,202539.5087051075,H    1.552744    -0.451526    1.001612,,
140260020000000000003,2,1,C2v,"56.05, 8.40, 7.30","1059.3, 3123.4, 3360.0",-102781415.07921499,-102736923.47254218,389758.8030761135,"C    0.522507    -2.257389    -0.470121, H    0.63396    -2.588685    0.553717, H    -0.219153    -2.412548    -1.242307",,
190000000000000000002,1,1,Kh,-,-,-261844797.71486828,-261844797.71486828,73170.92856165767,F    0.021153    -0.027398    -0.233801,,
200200000000000000001,1,1,Cinfv,20.96,4179.4,-263741332.82006246,-263716679.79067248,-276062.86922768306,"F    -1.116686    -1.790712    0.530306, H    -0.626622    -1.125368    0.133178",,
20020000000000000001,2,1,Dinfh,60.37,4434.5,-3087816.083260451,-3061658.1815650743,-16361.625535385974,"H    1.063841    -1.948829    1.427145, H    1.344755    -2.449251    0.953012",,
320440200000000000001,1,1,Cs,"15.60, 1.23, 1.14","1216.7, 1451.7, 2806.4",-363383385.7930719,-363351091.626964,170911.01406936132,"F    -1.175681    -1.60415    0.477756, C    -0.344883    -1.53844    -0.529466, H    -1.009136    -1.170256    -1.357766",,
330570420000000000002,1,1,Cs,"8.76, 1.03, 0.93","515.7, 1173.6, 1187.7, 1466.0, 3143.6, 3305.6",-365134965.31563056,-365071305.2296664,-26654.310618133684,"F    0.035217    0.020742    -0.235415, C    1.331885    -0.178509    0.025713, H    1.559818    -0.380776    1.063921, H    1.91403    -0.52996    -0.815948",,
340700660000000000001,3,1,C3v,"5.22, 0.86, 0.86","1067.1, 1194.8, 1195.1, 1488.6, 1494.5, 1494.8, 3046.8, 3139.9, 3140.3",-366902436.9573258,-366800612.8747025,-233313.67763948784,"C    1.523947    1.011858    -0.135952, F    0.172394    0.891089    -0.411345, H    1.971535    0.016003    -0.126615, H    1.987576    1.625125    -0.911271, H    1.643062    1.486575    0.840077",,
460940920440000000001,1,1,Cs,"2.18, 0.36, 0.31","491.6, 736.1, 908.9, 944.5, 977.7, 1175.7, 1338.6, 1413.0, 1734.3, 3179.6, 3222.0, 3282.1",-466874492.1922642,-466760033.60361636,-111348.68696470882,"C    0.655702    0.107622    -1.188894, C    1.044466    0.572156    -0.018641, F    0.534356    1.698561    0.50669, H    1.09779    -0.803887    -1.56729, H    -0.095181    0.616443    -1.779784, H    1.786832    0.124799    0.631763",,
471071270480000000002,1,2,C1,"1.38, 0.33, 0.29","124.2, 413.5, 512.0, 833.6, 973.0, 1091.8, 1131.4, 1252.5, 1397.4, 1456.4, 1487.1, 2994.9, 3076.8, 3165.8, 3282.1",-468357217.6937866,-468220411.28533846,-49078.09067196553,"C    1.625195    -0.023253    0.067345, C    1.964021    1.410634    -0.003787, F    1.380945    2.111668    1.053689, H    1.546812    -0.50825    1.032024, H    1.570192    -0.61806    -0.83521, H    1.616185    1.865032    -0.937006, H    3.047947    1.581356    0.07495",,
520881200000000000001,2,1,C2v,"1.65, 0.35, 0.31","532.1, 1095.2, 1124.4, 1182.7, 1279.0, 1463.4, 1529.7, 3074.2, 3151.6",-627479986.4461489,-627394854.7427039,-432235.1802257852,"F    -0.456378    -0.480044    0.169201, C    0.354577    0.57157    -0.112766, F    -0.261012    1.711177    0.293374, H    0.501962    0.619993    -1.19356, H    1.284098    0.457132    0.448551",,
