     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 04:49:20        8.667512       1.0881       0.0154       1.7000       1.0000
Sella   1 04:49:22       10.879296       4.2789       0.2164       0.7627      -1.0099
Sella   2 04:49:23        7.621536       0.4928       0.1353       0.7627       0.7399
Sella   3 04:49:24        7.941961       0.2517       0.0027       0.1451      -0.7970
Sella   4 04:49:24        7.957696       0.1447       0.0003       0.0332      -2.5002
Sella   5 04:49:25        7.975229       0.1180       0.0002       0.0299      -3.1003
Sella   6 04:49:26        7.987885       0.0959       0.0001       0.0269      -2.7165
Sella   7 04:49:27        8.010134       0.0925       0.0001       0.0242      -7.6305
Sella   8 04:49:28        8.040527       0.0863       0.0001       0.0218     -14.9786
Sella   9 04:49:29        8.076475       0.0775       0.0001       0.0196     -20.4230
Sella  10 04:49:30        8.113497       0.0681       0.0002       0.0176     -23.9211
Sella  11 04:49:31        8.149073       0.0594       0.0002       0.0159     -28.1026
Sella  12 04:49:32        8.182343       0.0517       0.0001       0.0143     -32.2965
Sella  13 04:49:33        8.212995       0.0450       0.0001       0.0129     -36.6114
Sella  14 04:49:34        8.240972       0.0392       0.0001       0.0116     -41.7623
Sella  15 04:49:35        8.266417       0.0341       0.0001       0.0104     -48.2452
Sella  16 04:49:36        8.289489       0.0294       0.0000       0.0094     -56.0070
Sella  17 04:49:36        8.310284       0.0252       0.0000       0.0084     -64.6800
Sella  18 04:49:37        8.328855       0.0214       0.0000       0.0076     -73.8375
Sella  19 04:49:38        8.345250       0.0179       0.0000       0.0068     -83.0803
Sella  20 04:49:39        8.359534       0.0150       0.0000       0.0061     -91.9746
Sella  21 04:49:40        8.371797       0.0124       0.0000       0.0055     -99.9422
Sella  22 04:49:41        8.382145       0.0103       0.0000       0.0050    -106.1133
Sella  23 04:49:42        8.390694       0.0086       0.0000       0.0045    -109.2346
Sella  24 04:49:43        8.397559       0.0074       0.0000       0.0040    -107.7355
Sella  25 04:49:44        8.402856       0.0065       0.0000       0.0036    -100.1706
Sella  26 04:49:45        8.406715       0.0060       0.0000       0.0033     -85.9942
Sella  27 04:49:45        8.409300       0.0058       0.0000       0.0029     -66.3640
Sella  28 04:49:46        8.410820       0.0058       0.0000       0.0026     -44.1342
Sella  29 04:49:47        8.411518       0.0057       0.0000       0.0024     -22.6648
Sella  30 04:49:48        8.411637       0.0058       0.0000       0.0021      -4.2864
Sella  31 04:49:49        8.411381       0.0057       0.0000       0.0021      10.2661
Sella  32 04:49:50        8.410853       0.0057       0.0000       0.0021      21.2802
Sella  33 04:49:51        8.410118       0.0057       0.0000       0.0021      29.7294
Sella  34 04:49:52        8.409216       0.0056       0.0000       0.0021      36.5488
Sella  35 04:49:53        8.408177       0.0056       0.0000       0.0021      42.2280
Sella  36 04:49:54        8.407023       0.0055       0.0000       0.0021      47.0334
Sella  37 04:49:55        8.405774       0.0054       0.0000       0.0021      51.1186
Sella  38 04:49:55        8.404445       0.0054       0.0000       0.0021      54.5806
Sella  39 04:49:56        8.403048       0.0053       0.0000       0.0021      57.5002
Sella  40 04:49:57        8.401596       0.0053       0.0000       0.0021      59.9425
Sella  41 04:49:58        8.400099       0.0053       0.0000       0.0021      61.9678
Sella  42 04:49:59        8.398564       0.0052       0.0000       0.0021      63.6270
Sella  43 04:50:00        8.397000       0.0052       0.0000       0.0021      64.9658
Sella  44 04:50:01        8.395413       0.0052       0.0000       0.0021      66.0216
Sella  45 04:50:02        8.393808       0.0052       0.0000       0.0021      66.8441
Sella  46 04:50:03        8.392189       0.0052       0.0000       0.0021      67.4613
Sella  47 04:50:04        8.390562       0.0052       0.0000       0.0021      67.9222
Sella  48 04:50:05        8.388928       0.0052       0.0000       0.0021      68.2536
Sella  49 04:50:06        8.387290       0.0052       0.0000       0.0021      68.5008
Sella  50 04:50:06        8.385649       0.0052       0.0000       0.0021      68.6900
Sella  51 04:50:07        8.384007       0.0052       0.0000       0.0021      68.8512
Sella  52 04:50:08        8.382362       0.0052       0.0000       0.0021      69.0038
Sella  53 04:50:09        8.380716       0.0052       0.0000       0.0021      69.1635
Sella  54 04:50:10        8.379068       0.0052       0.0000       0.0021      69.3361
Sella  55 04:50:11        8.377417       0.0052       0.0000       0.0021      69.5289
Sella  56 04:50:12        8.375763       0.0052       0.0000       0.0021      69.7413
Sella  57 04:50:13        8.374106       0.0052       0.0000       0.0021      69.9667
Sella  58 04:50:14        8.372445       0.0052       0.0000       0.0021      70.2069
Sella  59 04:50:15        8.370781       0.0052       0.0000       0.0021      70.4553
Sella  60 04:50:16        8.369113       0.0052       0.0000       0.0021      70.7044
Sella  61 04:50:16        8.367441       0.0052       0.0000       0.0021      70.9512
Sella  62 04:50:17        8.365765       0.0052       0.0000       0.0021      71.1911
Sella  63 04:50:18        8.364086       0.0052       0.0000       0.0021      71.4200
Sella  64 04:50:19        8.362405       0.0052       0.0000       0.0021      71.6339
