     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 05:14:24       18.164762       1.3704       0.1129       1.7000       1.0000
Sella   1 05:14:27       21.041290       4.1351       0.2093       0.7891      -1.1195
Sella   2 05:14:28       17.365647       0.5549       0.0789       0.7891       1.0154
Sella   3 05:14:29       17.409677       0.5611       0.0055       0.1429      -0.3072
Sella   4 05:14:30       17.379452       0.2261       0.0018       0.1429       0.5373
Sella   5 05:14:31       17.388349       0.1794       0.0003       0.0333      -1.8335
Sella   6 05:14:32       17.419918       0.1421       0.0002       0.0299      -3.4346
Sella   7 05:14:33       17.461524       0.1198       0.0002       0.0269      -6.5866
Sella   8 05:14:34       17.511941       0.1010       0.0001       0.0243     -10.4606
Sella   9 05:14:35       17.566554       0.0867       0.0001       0.0218     -14.1339
Sella  10 05:14:36       17.621965       0.0772       0.0001       0.0196     -17.1084
Sella  11 05:14:37       17.672535       0.0719       0.0000       0.0177     -18.0267
Sella  12 05:14:38       17.715741       0.0682       0.0000       0.0159     -17.6317
Sella  13 05:14:39       17.751073       0.0655       0.0000       0.0143     -16.4643
Sella  14 05:14:40       17.779697       0.0633       0.0000       0.0129     -15.1868
Sella  15 05:14:41       17.802696       0.0618       0.0000       0.0116     -13.8382
Sella  16 05:14:42       17.821294       0.0607       0.0000       0.0104     -12.6463
Sella  17 05:14:43       17.836455       0.0599       0.0000       0.0094     -11.6189
Sella  18 05:14:44       17.848969       0.0593       0.0000       0.0085     -10.7875
Sella  19 05:14:45       17.859363       0.0589       0.0000       0.0076     -10.0635
Sella  20 05:14:46       17.868021       0.0585       0.0000       0.0068      -9.4022
Sella  21 05:14:47       17.875186       0.0583       0.0000       0.0062      -8.7153
Sella  22 05:14:48       17.881161       0.0578       0.0000       0.0055      -8.1202
Sella  23 05:14:49       17.885891       0.0573       0.0000       0.0050      -7.1723
Sella  24 05:14:50       17.889615       0.0566       0.0000       0.0045      -6.3067
Sella  25 05:14:51       17.892560       0.0561       0.0000       0.0040      -5.5720
Sella  26 05:14:52       17.894922       0.0556       0.0000       0.0036      -4.9912
Sella  27 05:14:53       17.896846       0.0552       0.0000       0.0033      -4.5362
Sella  28 05:14:54       17.898437       0.0549       0.0000       0.0029      -4.1808
Sella  29 05:14:55       17.899767       0.0547       0.0000       0.0027      -3.8978
Sella  30 05:14:56       17.900891       0.0545       0.0000       0.0024      -3.6657
Sella  31 05:14:57       17.901845       0.0544       0.0000       0.0021      -3.4679
Sella  32 05:14:58       17.902660       0.0542       0.0000       0.0019      -3.2951
Sella  33 05:15:00       17.903357       0.0541       0.0000       0.0017      -3.1413
Sella  34 05:15:01       17.903957       0.0541       0.0000       0.0016      -3.0036
Sella  35 05:15:02       17.904473       0.0540       0.0000       0.0014      -2.8793
Sella  36 05:15:03       17.904919       0.0539       0.0000       0.0013      -2.7680
Sella  37 05:15:04       17.905305       0.0538       0.0000       0.0011      -2.6674
Sella  38 05:15:05       17.905641       0.0538       0.0000       0.0010      -2.5774
Sella  39 05:15:06       17.905933       0.0537       0.0000       0.0009      -2.4962
Sella  40 05:15:07       17.906189       0.0537       0.0000       0.0008      -2.4234
Sella  41 05:15:08       17.906412       0.0537       0.0000       0.0007      -2.3579
Sella  42 05:15:09       17.906608       0.0536       0.0000       0.0007      -2.2991
Sella  43 05:15:10       17.906780       0.0536       0.0000       0.0006      -2.2463
Sella  44 05:15:11       17.906931       0.0536       0.0000       0.0005      -2.1990
