     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 04:57:12       12.422258       1.1903       0.0341       1.7000       1.0000
Sella   1 04:57:15       13.643530       5.0843       0.1595       0.7560      -0.6012
Sella   2 04:57:16       11.189604       0.9281       0.0854       0.7560       0.7746
Sella   3 04:57:17       11.968812       1.1238       0.0187       0.2205      -5.0732
Sella   4 04:57:19       11.489685       0.3186       0.0136       0.2205       2.5514
Sella   5 04:57:20       11.485342       0.0790       0.0006       0.2205       0.1286
Sella   6 04:57:21       11.454311       0.0760       0.0001       0.2205       9.0792
Sella   7 04:57:22       11.356512       0.0591       0.0004       0.2205      46.1415
Sella   8 04:57:24       11.298909       0.0409       0.0001       0.2205      35.2985
Sella   9 04:57:25       11.240452       0.0539       0.0004       0.2205      62.1803
Sella  10 04:57:26       11.223215       0.0563       0.0001       0.2205      12.2037
Sella  11 04:57:27       11.225878       0.0552       0.0005       0.0660      -1.6627
Sella  12 04:57:29       11.269125       0.0566       0.0006       0.0594     -27.8029
Sella  13 04:57:30       11.354905       0.0538       0.0011       0.0534     -49.4520
Sella  14 04:57:31       11.440973       0.0468       0.0011       0.0453     -85.1190
Sella  15 04:57:32       11.465877       0.0313       0.0001       0.0147     -97.3953
Sella  16 04:57:33       11.464173       0.0226       0.0001       0.0147       3.9909
Sella  17 04:57:35       11.442834       0.0214       0.0000       0.0147      70.9593
Sella  18 04:57:36       11.410921       0.0190       0.0000       0.0132     126.4449
Sella  19 04:57:37       11.379719       0.0140       0.0000       0.0119     161.6745
Sella  20 04:57:38       11.353255       0.0099       0.0000       0.0107     194.8572
Sella  21 04:57:39       11.331621       0.0072       0.0000       0.0097     240.1607
Sella  22 04:57:41       11.312952       0.0054       0.0000       0.0087     318.6686
Sella  23 04:57:42       11.294730       0.0049       0.0000       0.0078     461.8857
Sella  24 04:57:43       11.276031       0.0049       0.0000       0.0070     631.8999
Sella  25 04:57:45       11.258557       0.0032       0.0000       0.0063     795.4077
Sella  26 04:57:46       11.244574       0.0013       0.0000       0.0057    1161.4879
Sella  27 04:57:47       11.238646       0.0010       0.0000       0.0033    1053.7377
Sella  28 04:57:49       11.238915       0.0007       0.0000       0.0006    -192.7961
Sella  29 04:57:50       11.240020       0.0003       0.0000       0.0004   -5893.4401
Sella  30 04:57:51       11.240553       0.0002       0.0000       0.0001   12097.3831
Sella  31 04:57:53       11.240733       0.0001       0.0000       0.0001  -13255.1588
Sella  32 04:57:54       11.240742       0.0001       0.0000       0.0001   -1246.7344
