12
C C F F S O O O F F F H


0 1 0 0 0 0 0 0 1 1 1 0
1 0 1 1 1 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0 0
0 1 0 0 0 2 2 1 0 0 0 0
0 0 0 0 2 0 0 0 0 0 0 0
0 0 0 0 2 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 0 0 0


0.00 1.56 2.35 2.36 2.89 3.10 4.03 3.35 1.32 1.34 1.33 3.28
1.56 0.00 1.33 1.33 1.88 2.69 2.66 2.68 2.38 2.37 2.36 3.06
2.35 1.33 0.00 2.18 2.60 3.20 2.92 3.81 2.66 3.50 2.85 4.26
2.36 1.33 2.18 0.00 2.62 3.77 3.03 2.83 3.49 2.86 2.63 3.37
2.89 1.88 2.60 2.62 0.00 1.44 1.43 1.60 3.31 3.07 4.04 2.14
3.10 2.69 3.20 3.77 1.44 0.00 2.53 2.48 2.96 3.21 4.40 2.50
4.03 2.66 2.92 3.03 1.43 2.53 0.00 2.43 4.47 4.38 5.01 3.25
3.35 2.68 3.81 2.83 1.60 2.48 2.43 0.00 4.09 2.91 4.39 0.97
1.32 2.38 2.66 3.49 3.31 2.96 4.47 4.09 0.00 2.17 2.16 3.91
1.34 2.37 3.50 2.86 3.07 3.21 4.38 2.91 2.17 0.00 2.16 2.51
1.33 2.36 2.85 2.63 4.04 4.40 5.01 4.39 2.16 2.16 0.00 4.37
3.28 3.06 4.26 3.37 2.14 2.50 3.25 0.97 3.91 2.51 4.37 0.00

