     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 07:25:39       11.744555       1.1734       0.1397       1.6000       1.0000
Sella   1 07:25:41       14.717469       5.5101       0.2299       0.7933      -1.2792
Sella   2 07:25:43       10.970004       0.7980       0.1177       0.7933       0.8463
Sella   3 07:25:44       10.990097       0.4545       0.0041       0.1560      -0.1242
Sella   4 07:25:45       10.953562       0.3051       0.0008       0.1560       2.0010
Sella   5 07:25:46       10.804784       0.2009       0.0017       0.1560       6.2400
Sella   6 07:25:47       10.655010       0.2095       0.0012       0.1560       9.9025
Sella   7 07:25:48       10.460362       0.3277       0.0024       0.1560       8.5317
Sella   8 07:25:50       10.305328       0.1428       0.0036       0.1560       4.9750
Sella   9 07:25:51       10.177568       0.1069       0.0029       0.1560      11.4509
Sella  10 07:25:52       10.110688       0.0707       0.0004       0.0510     -16.3789
Sella  11 07:25:53       10.062518       0.0681       0.0003       0.0510      62.9278
Sella  12 07:25:55       10.035207       0.0543       0.0002       0.0510      26.2050
Sella  13 07:25:56       10.021695       0.0419       0.0005       0.0510       6.3631
Sella  14 07:25:57       10.029942       0.0357       0.0003       0.0510      12.5018
Sella  15 07:25:59       10.050682       0.0309       0.0004       0.0253     -92.8824
Sella  16 07:26:00       10.076024       0.0257       0.0002       0.0228     -96.7895
Sella  17 07:26:01       10.096103       0.0176       0.0001       0.0205     -44.4534
Sella  18 07:26:03       10.108734       0.0109       0.0001       0.0184     -50.0696
Sella  19 07:26:04       10.109344       0.0085       0.0000       0.0184      18.2469
Sella  20 07:26:05       10.106671       0.0076       0.0000       0.0036     169.0683
Sella  21 07:26:07       10.104224       0.0070       0.0000       0.0036      67.2340
Sella  22 07:26:08       10.103266       0.0053       0.0000       0.0036      25.2181
Sella  23 07:26:09       10.103522       0.0030       0.0000       0.0032      -9.9297
Sella  24 07:26:11       10.104068       0.0023       0.0000       0.0029     -62.0427
Sella  25 07:26:12       10.104590       0.0015       0.0000       0.0026   -1846.0591
Sella  26 07:26:13       10.104894       0.0012       0.0000       0.0026      57.3716
Sella  27 07:26:14       10.105435       0.0007       0.0000       0.0008   -1154.6286
Sella  28 07:26:15       10.105842       0.0005       0.0000       0.0004   -1331.5097
Sella  29 07:26:17       10.106171       0.0003       0.0000       0.0004   -1720.0286
Sella  30 07:26:18       10.106371       0.0002       0.0000       0.0002   14863.8886
Sella  31 07:26:19       10.106504       0.0001       0.0000       0.0001    7760.2117
Sella  32 07:26:20       10.106585       0.0001       0.0000       0.0001   11386.0488
Sella  33 07:26:21       10.106615       0.0001       0.0000       0.0001    5228.6295
