     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 08:08:51       14.317289       0.9393       0.0071       1.7000       1.0000
Sella   1 08:08:53       16.502332       5.5168       0.1812       0.7360      -1.2988
Sella   2 08:08:54       13.530771       0.4204       0.1165       0.7360       0.8650
Sella   3 08:08:55       13.610911       0.5222       0.0041       0.1302      -0.3920
Sella   4 08:08:56       13.708983       0.3561       0.0025       0.0784      -2.4462
Sella   5 08:08:58       13.633105       0.1099       0.0003       0.0784       7.4999
Sella   6 08:08:59       13.596414       0.0703       0.0002       0.0784      19.2332
Sella   7 08:09:00       13.546313       0.0787       0.0011       0.0784       6.4892
Sella   8 08:09:01       13.546281       0.0532       0.0001       0.0209      -0.2358
Sella   9 08:09:02       13.555316       0.0560       0.0000       0.0125     -20.7015
Sella  10 08:09:03       13.560368       0.0473       0.0000       0.0112      -5.2436
Sella  11 08:09:05       13.561750       0.0436       0.0000       0.0101      -1.7955
Sella  12 08:09:06       13.561005       0.0422       0.0000       0.0101       1.0805
Sella  13 08:09:07       13.559134       0.0419       0.0000       0.0101       2.6658
Sella  14 08:09:08       13.556393       0.0418       0.0000       0.0101       3.8883
Sella  15 08:09:10       13.553163       0.0419       0.0000       0.0101       4.5927
Sella  16 08:09:11       13.549439       0.0419       0.0000       0.0101       5.2803
Sella  17 08:09:12       13.545328       0.0421       0.0000       0.0101       5.8273
Sella  18 08:09:13       13.540772       0.0422       0.0000       0.0101       6.4339
Sella  19 08:09:14       13.535810       0.0423       0.0000       0.0101       6.9886
Sella  20 08:09:16       13.530411       0.0424       0.0000       0.0101       7.5709
Sella  21 08:09:17       13.524604       0.0425       0.0000       0.0101       8.1129
Sella  22 08:09:18       13.518381       0.0427       0.0000       0.0101       8.6532
Sella  23 08:09:19       13.511766       0.0428       0.0000       0.0101       9.1574
Sella  24 08:09:20       13.504763       0.0430       0.0000       0.0101       9.6463
Sella  25 08:09:22       13.497394       0.0432       0.0000       0.0101      10.1040
Sella  26 08:09:23       13.489666       0.0433       0.0000       0.0101      10.5416
Sella  27 08:09:24       13.481599       0.0435       0.0000       0.0101      10.9517
Sella  28 08:09:25       13.473203       0.0437       0.0000       0.0101      11.3406
Sella  29 08:09:26       13.464493       0.0439       0.0000       0.0101      11.7053
Sella  30 08:09:27       13.455484       0.0441       0.0000       0.0101      12.0487
Sella  31 08:09:29       13.446188       0.0443       0.0000       0.0101      12.3700
Sella  32 08:09:30       13.436620       0.0445       0.0000       0.0101      12.6708
Sella  33 08:09:31       13.426793       0.0447       0.0000       0.0101      12.9510
Sella  34 08:09:32       13.416720       0.0449       0.0000       0.0101      13.2114
Sella  35 08:09:34       13.406416       0.0451       0.0000       0.0101      13.4524
Sella  36 08:09:35       13.395893       0.0453       0.0000       0.0101      13.6750
Sella  37 08:09:36       13.385166       0.0455       0.0000       0.0101      13.8792
Sella  38 08:09:37       13.374247       0.0457       0.0000       0.0101      14.0660
Sella  39 08:09:38       13.363150       0.0459       0.0000       0.0101      14.2357
Sella  40 08:09:40       13.351888       0.0461       0.0000       0.0101      14.3889
Sella  41 08:09:41       13.340475       0.0463       0.0000       0.0101      14.5262
Sella  42 08:09:42       13.328922       0.0465       0.0000       0.0101      14.6481
Sella  43 08:09:44       13.317244       0.0467       0.0000       0.0101      14.7553
Sella  44 08:09:45       13.305451       0.0468       0.0000       0.0101      14.8482
Sella  45 08:09:46       13.293558       0.0470       0.0000       0.0101      14.9274
Sella  46 08:09:47       13.281575       0.0472       0.0000       0.0101      14.9934
Sella  47 08:09:48       13.269516       0.0473       0.0000       0.0101      15.0466
Sella  48 08:09:50       13.257391       0.0475       0.0000       0.0101      15.0876
Sella  49 08:09:51       13.245212       0.0476       0.0000       0.0101      15.1168
Sella  50 08:09:52       13.232991       0.0478       0.0000       0.0101      15.1348
Sella  51 08:09:53       13.220738       0.0479       0.0000       0.0101      15.1419
Sella  52 08:09:55       13.208464       0.0481       0.0000       0.0101      15.1385
Sella  53 08:09:56       13.196179       0.0482       0.0000       0.0101      15.1251
Sella  54 08:09:57       13.183895       0.0483       0.0000       0.0101      15.1019
Sella  55 08:09:58       13.171619       0.0484       0.0000       0.0101      15.0696
Sella  56 08:09:59       13.159363       0.0485       0.0000       0.0101      15.0282
Sella  57 08:10:00       13.147135       0.0486       0.0000       0.0101      14.9781
Sella  58 08:10:02       13.134945       0.0487       0.0000       0.0101      14.9200
Sella  59 08:10:03       13.122800       0.0488       0.0000       0.0101      14.8536
Sella  60 08:10:04       13.110709       0.0489       0.0000       0.0101      14.7797
Sella  61 08:10:05       13.098681       0.0490       0.0000       0.0101      14.6985
Sella  62 08:10:07       13.086722       0.0491       0.0000       0.0101      14.6100
Sella  63 08:10:08       13.074841       0.0491       0.0000       0.0101      14.5147
Sella  64 08:10:09       13.063044       0.0492       0.0000       0.0101      14.4129
Sella  65 08:10:10       13.051338       0.0493       0.0000       0.0101      14.3047
Sella  66 08:10:12       13.039729       0.0493       0.0000       0.0101      14.1905
Sella  67 08:10:13       13.028224       0.0494       0.0000       0.0101      14.0706
Sella  68 08:10:14       13.016827       0.0494       0.0000       0.0101      13.9452
Sella  69 08:10:15       13.005545       0.0494       0.0000       0.0101      13.8145
Sella  70 08:10:17       12.994383       0.0495       0.0000       0.0101      13.6788
Sella  71 08:10:18       12.983344       0.0495       0.0000       0.0101      13.5384
