12
C C F F S O O O F F F H


0 1 0 0 0 0 0 0 1 1 1 0
1 0 1 1 1 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0 0
0 1 0 0 0 2 2 1 0 0 0 0
0 0 0 0 2 0 0 0 0 0 0 0
0 0 0 0 2 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 0 0 0


0.00 1.55 2.34 2.34 2.84 3.36 3.19 4.01 1.32 1.32 1.33 4.33
1.55 0.00 1.34 1.33 1.84 2.64 2.63 2.59 2.36 2.35 2.34 2.97
2.34 1.34 0.00 2.18 2.59 3.73 2.98 2.79 2.68 3.49 2.77 2.74
2.34 1.33 2.18 0.00 2.59 2.88 3.75 2.94 3.49 2.80 2.65 3.54
2.84 1.84 2.59 2.59 0.00 1.41 1.42 1.57 3.21 3.08 4.00 2.11
3.36 2.64 3.73 2.88 1.41 0.00 2.50 2.41 3.98 3.03 4.48 3.22
3.19 2.63 2.98 3.75 1.42 2.50 0.00 2.44 2.94 3.53 4.43 2.46
4.01 2.59 2.79 2.94 1.57 2.41 2.44 0.00 4.43 4.45 4.93 0.97
1.32 2.36 2.68 3.49 3.21 3.98 2.94 4.43 0.00 2.16 2.15 4.52
1.32 2.35 3.49 2.80 3.08 3.03 3.53 4.45 2.16 0.00 2.16 4.97
1.33 2.34 2.77 2.65 4.00 4.48 4.43 4.93 2.15 2.16 0.00 5.22
4.33 2.97 2.74 3.54 2.11 3.22 2.46 0.97 4.52 4.97 5.22 0.00

