     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 05:39:09       44.970735       1.0487       0.0768       1.1000       1.0000
Sella   1 05:39:11       45.880946       5.9573       0.2527       0.6913      -0.8156
Sella   2 05:39:12       44.632010       0.7824       0.1086       0.6913       0.3157
Sella   3 05:39:13       44.758794       0.7028       0.0220       0.2302      -0.2805
Sella   4 05:39:14       44.688110       0.3173       0.0203       0.2302       0.5952
Sella   5 05:39:15       44.742657       0.1423       0.0007       0.0510      -0.7480
Sella   6 05:39:16       44.737877       0.1209       0.0006       0.0510       0.5524
Sella   7 05:39:18       44.734052       0.0909       0.0009       0.0510       1.8867
Sella   8 05:39:19       44.730210       0.0727       0.0005       0.0510       1.0930
Sella   9 05:39:20       44.728335       0.0664       0.0002       0.0510       0.8509
Sella  10 05:39:21       44.726617       0.0557       0.0004       0.0510       1.4722
Sella  11 05:39:22       44.725761       0.0524       0.0002       0.0510       1.3757
Sella  12 05:39:23       44.725451       0.0471       0.0001       0.0510       0.9656
Sella  13 05:39:24       44.725624       0.0438       0.0000       0.0064      -4.5701
Sella  14 05:39:25       44.725478       0.0391       0.0000       0.0064       2.5790
Sella  15 05:39:26       44.725329       0.0319       0.0000       0.0064       2.5259
Sella  16 05:39:27       44.725205       0.0227       0.0000       0.0074       1.0088
Sella  17 05:39:28       44.725081       0.0132       0.0000       0.0074       0.9278
Sella  18 05:39:30       44.724980       0.0058       0.0000       0.0085       0.9849
Sella  19 05:39:31       44.724850       0.0028       0.0000       0.0085       0.9657
Sella  20 05:39:32       44.724845       0.0018       0.0000       0.0085       0.7443
Sella  21 05:39:33       44.724844       0.0012       0.0000       0.0085       5.0995
Sella  22 05:39:34       44.724846       0.0011       0.0000       0.0085       1.2181
Sella  23 05:39:35       44.724843       0.0006       0.0000       0.0085       0.8401
Sella  24 05:39:36       44.724842       0.0005       0.0000       0.0085       1.0264
Sella  25 05:39:37       44.724842       0.0005       0.0000       0.0085       0.3679
Sella  26 05:39:38       44.724842       0.0003       0.0000       0.0085       4.2894
Sella  27 05:39:39       44.724842       0.0002       0.0000       0.0085       0.9840
Sella  28 05:39:40       44.724842       0.0001       0.0000       0.0085       0.8909
