9
C F F F S O O O H


0 1 1 1 1 0 0 0 0
1 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0
1 0 0 0 0 2 2 1 0
0 0 0 0 2 0 0 0 0
0 0 0 0 2 0 0 0 0
0 0 0 0 1 0 0 0 1
0 0 0 0 0 0 0 1 0


0.00 1.33 1.32 1.32 1.84 2.63 2.63 2.61 3.02
1.33 0.00 2.16 2.16 2.60 3.74 2.95 2.88 2.89
1.32 2.16 0.00 2.16 2.61 2.93 3.75 2.94 3.56
1.32 2.16 2.16 0.00 2.59 3.08 3.01 3.77 4.16
1.84 2.60 2.61 2.59 0.00 1.41 1.42 1.57 2.11
2.63 3.74 2.93 3.08 1.41 0.00 2.50 2.41 3.21
2.63 2.95 3.75 3.01 1.42 2.50 0.00 2.44 2.44
2.61 2.88 2.94 3.77 1.57 2.41 2.44 0.00 0.97
3.02 2.89 3.56 4.16 2.11 3.21 2.44 0.97 0.00

