     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 06:29:17       82.420175       0.9311       1.9363       1.5000       1.0000
Sella   1 06:29:20       91.664509       6.8532       0.8950       1.3115      -3.4992
Sella   2 06:29:22       87.904437       4.5758       0.2581       1.3115       1.6227
Sella   3 06:29:23       85.013254       3.0255       0.1013       1.3115       1.4005
Sella   4 06:29:25       83.925746       2.5646       0.0780       1.3115       0.9807
Sella   5 06:29:26       82.433438       1.6663       0.0529       1.3115       2.2559
Sella   6 06:29:27       82.609694       1.0271       0.0091       0.1499      -0.8234
Sella   7 06:29:29       82.491899       0.6934       0.0068       0.1499       0.7564
Sella   8 06:29:30       82.723651       0.4524       0.0047       0.1163      -4.3389
Sella   9 06:29:32       82.862380       0.4353       0.0018       0.0749      -9.6227
Sella  10 06:29:33       82.798883       0.2889       0.0010       0.0749       3.0471
Sella  11 06:29:35       82.684312       0.2441       0.0016       0.0749       9.9719
Sella  12 06:29:36       82.576994       0.2737       0.0026       0.0749      10.6533
Sella  13 06:29:38       82.491252       0.2111       0.0032       0.0749       3.8933
Sella  14 06:29:39       82.460596       0.1299       0.0033       0.0749       1.7481
Sella  15 06:29:41       82.480835       0.1394       0.0030       0.0674      -1.6863
Sella  16 06:29:42       82.572973       0.1219       0.0019       0.0607     -10.9247
Sella  17 06:29:44       82.646594       0.1310       0.0011       0.0546     -10.5938
Sella  18 06:29:45       82.694588       0.1339       0.0005       0.0491      -6.8915
Sella  19 06:29:47       82.713258       0.1340       0.0003       0.0442      -2.5734
Sella  20 06:29:48       82.711077       0.1359       0.0002       0.0442       0.2796
Sella  21 06:29:50       82.699671       0.1387       0.0002       0.0442       1.2400
Sella  22 06:29:51       82.688454       0.1413       0.0002       0.0442       1.1575
Sella  23 06:29:53       82.678689       0.1432       0.0002       0.0509       0.9745
Sella  24 06:29:54       82.666326       0.1452       0.0003       0.0585       1.0001
Sella  25 06:29:55       82.651834       0.1480       0.0004       0.0673       0.9778
Sella  26 06:29:57       82.634254       0.1524       0.0005       0.0773       0.9887
Sella  27 06:29:58       82.612719       0.1587       0.0006       0.0889       1.0076
Sella  28 06:29:59       82.586350       0.1667       0.0008       0.1023       1.0239
Sella  29 06:30:01       82.554202       0.1757       0.0011       0.1023       1.0357
Sella  30 06:30:02       82.523578       0.1835       0.0011       0.1176       0.9973
Sella  31 06:30:04       82.483820       0.1896       0.0015       0.1176       1.0450
Sella  32 06:30:05       82.447322       0.1925       0.0015       0.1353       0.9945
Sella  33 06:30:07       82.401341       0.1914       0.0020       0.1353       1.0464
Sella  34 06:30:08       82.361769       0.1866       0.0020       0.1556       0.9805
Sella  35 06:30:10       82.313282       0.1769       0.0027       0.1556       1.0471
Sella  36 06:30:11       82.274044       0.1649       0.0026       0.1789       0.9821
Sella  37 06:30:13       82.225073       0.1490       0.0034       0.1789       1.1024
Sella  38 06:30:14       82.186777       0.1315       0.0032       0.1789       1.0745
Sella  39 06:30:16       82.152606       0.1125       0.0031       0.1789       1.1838
Sella  40 06:30:18       82.123551       0.1102       0.0029       0.1789       1.3856
Sella  41 06:30:19       82.088300       0.1122       0.0028       0.1789       3.3601
Sella  42 06:30:21       82.146901       0.1089       0.0004       0.1789       5.7775
Sella  43 06:30:22       81.806822       0.2052       0.0045       0.1789      17.0128
Sella  44 06:30:24       82.126110       0.1967       0.0028       0.1196     -42.5933
Sella  45 06:30:25       82.118178       0.0630       0.0015       0.1196       1.2017
Sella  46 06:30:26       82.130157       0.0496       0.0005       0.1196       3.5534
Sella  47 06:30:28       82.146654       0.0426       0.0001       0.1196      18.4845
Sella  48 06:30:29       82.145411       0.0364       0.0001       0.1196       1.4150
Sella  49 06:30:31       82.147983       0.0370       0.0000       0.1196      23.0151
Sella  50 06:30:32       82.144488       0.0348       0.0001       0.1196       4.2220
Sella  51 06:30:34       82.137426       0.0261       0.0002       0.1196       5.6902
Sella  52 06:30:35       82.141445       0.0247       0.0002       0.0316     -20.3090
Sella  53 06:30:36       82.146478       0.0210       0.0000       0.0316      10.8371
Sella  54 06:30:38       82.146372       0.0220       0.0000       0.0316       1.0421
Sella  55 06:30:39       82.145586       0.0298       0.0000       0.0316       2.1148
Sella  56 06:30:41       82.143327       0.0371       0.0001       0.0316       2.2300
Sella  57 06:30:42       82.142890       0.0371       0.0001       0.0316       1.3049
Sella  58 06:30:44       82.142267       0.0328       0.0001       0.0316       0.9593
Sella  59 06:30:45       82.141473       0.0265       0.0002       0.0316       0.8971
Sella  60 06:30:47       82.140511       0.0223       0.0002       0.0316       1.0375
Sella  61 06:30:48       82.139501       0.0207       0.0002       0.0316       1.2133
Sella  62 06:30:50       82.138635       0.0187       0.0002       0.0316       1.2383
Sella  63 06:30:51       82.138060       0.0157       0.0002       0.0364       0.9888
Sella  64 06:30:53       82.137076       0.0124       0.0002       0.0364       1.1814
Sella  65 06:30:54       82.136905       0.0126       0.0002       0.0364       0.3583
