     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 05:12:32       79.713921       0.9118       3.0327       1.4000       1.0000
Sella   1 05:12:33       83.799073       3.7594       0.8009       1.4000       4.0524
Sella   2 05:12:35       68.608547       1.0702       2.9462       1.4000       3.2262
Sella   3 05:12:36       71.194246       2.0728       3.0089       1.6100       0.9748
Sella   4 05:12:37       73.499407       1.7046       2.8772       1.6100       0.1157
Sella   5 05:12:38       73.268520       4.0576       2.1914       1.4490      -0.0518
Sella   6 05:12:39       79.498538       3.9729       1.1308       0.8390      -2.2481
Sella   7 05:12:40       80.585506       4.2123       2.7845       0.5886      -0.3325
Sella   8 05:12:41       81.243200       4.0622       0.7870       0.5886       0.2951
Sella   9 05:12:41       80.702285       4.1209       2.7304       0.5886       0.1597
Sella  10 05:12:42       82.277857       3.9763       0.6144       0.5886       0.5379
Sella  11 05:12:44       79.983106       3.9601       2.4884       0.5886       0.7230
Sella  12 05:12:45       82.060342       3.8558       0.5270       0.5886       0.8111
Sella  13 05:12:45       79.046716       3.8539       2.4518       0.5886       0.9374
Sella  14 05:12:46       81.642779       3.8290       0.5122       0.5886       0.8363
Sella  15 05:12:47       78.557200       3.7446       2.4730       0.5886       0.9008
Sella  16 05:12:48       81.396639       3.7959       0.5108       0.5886       0.8298
Sella  17 05:12:49       78.336582       3.6273       2.4982       0.5886       0.8478
Sella  18 05:12:50       81.301183       3.7530       0.5117       0.5886       0.8168
Sella  19 05:12:51       78.222888       3.5088       2.5171       0.5886       0.8233
Sella  20 05:12:52       81.286901       3.7033       0.5132       0.5886       0.8106
Sella  21 05:12:53       78.153759       3.3934       2.5296       0.5886       0.8214
Sella  22 05:12:53       81.318124       3.9135       0.5149       0.5886       0.8161
Sella  23 05:12:55       78.114999       3.2830       2.5378       0.5886       0.8356
Sella  24 05:12:55       81.382548       4.2703       0.5166       0.5886       0.8344
Sella  25 05:12:56       78.108865       3.1799       2.5436       0.5886       0.8637
Sella  26 05:12:57       81.477412       4.4931       0.5185       0.5886       0.8662
Sella  27 05:12:58       78.141378       3.1110       2.5481       0.5886       0.9063
Sella  28 05:12:59       81.603011       4.5736       0.5203       0.5886       0.9129
Sella  29 05:13:00       78.218925       3.0448       2.5518       0.5886       0.9641
Sella  30 05:13:01       81.761001       4.5232       0.5220       0.6768       0.9753
Sella  31 05:13:02       78.110159       2.9423       2.6214       0.6768       1.0989
Sella  32 05:13:02       80.905062       3.3932       0.5971       0.6768       0.7732
Sella  33 05:13:03       79.146943       2.9302       2.7129       0.6768       0.5091
