     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 07:31:41       78.428334       0.9570       0.0578       1.5000       1.0000
Sella   1 07:31:43       80.426219       5.3931       0.1510       0.7059      -1.6260
Sella   2 07:31:44       78.567755       1.4398       0.1279       0.7059       0.5212
Sella   3 07:31:45       77.354537       1.0777       0.0210       0.7059       1.4905
Sella   4 07:31:45       77.616703       0.6202       0.0090       0.1592      -1.4521
Sella   5 07:31:46       78.147488       0.1582       0.0015       0.0515     -35.6811
Sella   6 07:31:47       78.245386       0.1340       0.0005       0.0447     -13.1289
Sella   7 07:31:48       78.248446       0.1284       0.0004       0.0402      -0.3983
Sella   8 07:31:49       78.248998       0.1083       0.0003       0.0362      -0.0813
Sella   9 07:31:50       78.243656       0.0968       0.0003       0.0362       1.1500
Sella  10 07:31:51       78.239900       0.0836       0.0003       0.0362       0.8195
Sella  11 07:31:52       78.235373       0.0756       0.0003       0.0416       1.0114
Sella  12 07:31:52       78.230266       0.0704       0.0004       0.0416       1.0358
Sella  13 07:31:53       78.225776       0.0668       0.0004       0.0478       0.9953
Sella  14 07:31:54       78.220482       0.0637       0.0005       0.0478       1.0603
Sella  15 07:31:55       78.215416       0.0596       0.0005       0.0478       1.1009
Sella  16 07:31:56       78.210484       0.0559       0.0005       0.0478       1.1346
Sella  17 07:31:57       78.205859       0.0520       0.0005       0.0478       1.1330
Sella  18 07:31:58       78.201718       0.0482       0.0005       0.0478       1.0929
Sella  19 07:31:59       78.198118       0.0443       0.0005       0.0478       1.0398
Sella  20 07:31:59       78.195072       0.0403       0.0005       0.0550       0.9793
Sella  21 07:32:00       78.191205       0.0357       0.0006       0.0550       1.1848
Sella  22 07:32:01       78.189016       0.0296       0.0007       0.0550       0.8402
Sella  23 07:32:02       78.187415       0.0241       0.0007       0.0550       0.7827
Sella  24 07:32:03       78.186424       0.0182       0.0007       0.0550       0.6678
Sella  25 07:32:04       78.185981       0.0118       0.0007       0.0550       0.4938
Sella  26 07:32:05       78.186187       0.0078       0.0007       0.0482      -0.7713
Sella  27 07:32:06       78.187707       0.0057       0.0000       0.0482       3.5084
Sella  28 07:32:07       78.187640       0.0054       0.0000       0.0482       4.3754
Sella  29 07:32:08       78.187518       0.0032       0.0000       0.0482      10.3197
Sella  30 07:32:08       78.187610       0.0020       0.0000       0.0016     -58.1279
Sella  31 07:32:09       78.187662       0.0011       0.0000       0.0015     -23.4576
Sella  32 07:32:10       78.187693       0.0007       0.0000       0.0015      95.1451
Sella  33 07:32:11       78.187694       0.0004       0.0000       0.0015       8.5507
Sella  34 07:32:12       78.187694       0.0004       0.0000       0.0015       3.2305
Sella  35 07:32:13       78.187694       0.0005       0.0000       0.0015       1.0906
Sella  36 07:32:14       78.187691       0.0009       0.0000       0.0015       1.5258
Sella  37 07:32:15       78.187688       0.0008       0.0000       0.0015       1.9072
Sella  38 07:32:15       78.187686       0.0006       0.0000       0.0015       1.4007
