11
C O C C F F F F F O H


0 2 1 0 0 0 0 0 0 1 0
2 0 0 0 0 0 0 0 0 0 0
1 0 0 1 0 0 0 1 1 0 0
0 0 1 0 1 1 1 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 1 0


0.00 1.19 1.54 2.57 3.72 2.86 2.99 2.37 2.34 1.33 1.87
1.19 0.00 2.41 3.39 4.48 3.29 4.00 3.37 2.65 2.25 2.34
1.54 2.41 0.00 1.54 2.35 2.35 2.36 1.34 1.33 2.37 3.21
2.57 3.39 1.54 0.00 1.32 1.33 1.32 2.34 2.33 3.07 3.91
3.72 4.48 2.35 1.32 0.00 2.16 2.15 2.76 2.66 4.27 5.16
2.86 3.29 2.35 1.33 2.16 0.00 2.16 3.49 2.76 3.53 4.15
2.99 4.00 2.36 1.32 2.15 2.16 0.00 2.70 3.48 2.89 3.71
2.37 3.37 1.34 2.34 2.76 3.49 2.70 0.00 2.18 2.67 3.58
2.34 2.65 1.33 2.33 2.66 2.76 3.48 2.18 0.00 3.49 4.20
1.33 2.25 2.37 3.07 4.27 3.53 2.89 2.67 3.49 0.00 0.97
1.87 2.34 3.21 3.91 5.16 4.15 3.71 3.58 4.20 0.97 0.00

